Comment,Designator,Footprint,LCSC
ESP32-S3-LCD-EV-BOARD_SUB_LCD_RGB,J1,ESP32-S3-LCD-EV-BOARD_SUB_LCD_RGB,
0R(NC),RA10,R_0402_1005Metric,
10K,R23,R_0402_1005Metric,
0R(NC),RA8,R_0402_1005Metric,
R(NC),RA1,R_0402_1005Metric,
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
0R(NC),RA7,R_0402_1005Metric,
10K,R21,R_0402_1005Metric,
0R(NC),RA9,R_0402_1005Metric,
Conn_02x20_Counter_Clockwise,J3,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,
0R(NC),RA4,R_0402_1005Metric,
0R(NC),RA2,R_0402_1005Metric,
0R(NC),RA3,R_0402_1005Metric,
0R(NC),RA6,R_0402_1005Metric,
0R,RB7,R_0402_1005Metric,
0R,RB2,R_0402_1005Metric,
0R,RB1,R_0402_1005Metric,
0R,RB9,R_0402_1005Metric,
0R,RB5,R_0402_1005Metric,
0R,RB12,R_0402_1005Metric,
0R,RB4,R_0402_1005Metric,
0R,RB8,R_0402_1005Metric,
0R,RB6,R_0402_1005Metric,
0R(NC),RA5,R_0402_1005Metric,
0R,RB11,R_0402_1005Metric,
0R,RB10,R_0402_1005Metric,
0R,RB3,R_0402_1005Metric,
